date,cases,cum_cases,deaths,cum_deaths,mask_required,population,current_population,incidence_rate,spread_category,removed,cum_removed,infected,susceptible,transmission_rate,infection_rate,r0,derivative
2021-02-06,217,104592,11,1215,Yes,945726,944511,22.974851536932867,red,354,100928,3664,941513.0,0.003891608506733311,0.02304800889631901,0.055594407239047294,-0.003615327334820893
2021-02-07,173,104715,2,1215,Yes,945726,944511,18.316356294421134,red,286,101214,3501,941708.0,0.003717712921627511,0.018370875048316464,0.05311018459467872,-0.004517181288698011
2021-02-08,132,104793,2,1215,Yes,945726,944511,13.975485727535201,orange,231,101445,3348,941939.0,0.0035543702936177398,0.014013646318922988,0.05077671848025342,-0.003082355945593528
2021-02-09,115,104937,0,1216,Yes,945726,944510,12.175625456585955,orange,219,101664,3273,942147.0,0.003473980175068222,0.012206163157129407,0.04962828821526031,-0.00042671673154656004
2021-02-10,124,105088,1,1220,Yes,945726,944506,13.128556091755902,orange,243,101907,3181,942234.0,0.0033760191205157103,0.013160212855829868,0.04822884457879586,0.0025990118055096165
2021-02-11,164,105286,2,1221,Yes,945726,944505,17.363592569652887,red,263,102170,3116,942302.0,0.0033067954859482417,0.01740418676814864,0.047239935513546306,0.00254604349350467
2021-02-12,172,105455,2,1222,Yes,945726,944504,18.21061636583858,red,268,102438,3017,942347.0,0.0032015807340608077,0.018252299842839208,0.045736867629440105,-0.00016044462303782016
2021-02-13,161,105571,1,1224,Yes,945726,944502,17.046020019015312,red,271,102709,2862,942441.0,0.0030367948762840325,0.017083297522073,0.04338278394691475,-0.002495504457258508
2021-02-14,125,105661,1,1224,Yes,945726,944502,13.234487592403193,orange,250,102959,2702,942593.0,0.002866560647066125,0.013261290928322192,0.04095086638665892,-0.003927605522678209
2021-02-15,87,105717,0,1224,Yes,945726,944502,9.211203364312622,orange,199,103158,2559,942774.0,0.0027143302636687054,0.009228086476716583,0.038776146623838645,-0.0019645274198584264
2021-02-16,88,105835,8,1250,Yes,945726,944476,9.317335750193758,orange,196,103354,2481,942968.0,0.002631054288162483,0.009332236088605339,0.03758648983089261,0.0002107325686252267
2021-02-17,91,105935,9,1251,Yes,945726,944475,9.634982397628312,orange,220,103574,2361,943049.0,0.002503581468195184,0.009649551613967036,0.035765449545645485,0.001059406662926866
2021-02-18,108,106042,10,1254,Yes,945726,944472,11.434960485858765,orange,259,103833,2209,943145.0,0.0023421637181981563,0.01145104941445907,0.03345948168854509,0.0009000629963979529
2021-02-19,108,106159,2,1258,Yes,945726,944468,11.435008915071766,orange,241,104074,2085,943258.0,0.0022104238713056236,0.011449677606762942,0.03157748387579462,5.1452184862896266e-05
2021-02-20,109,106264,2,1258,Yes,945726,944468,11.540888627248355,orange,217,104291,1973,943400.0,0.002091371634513462,0.011553953784184863,0.0298767376359066,-0.0005316082324228642
2021-02-21,98,106336,1,1258,Yes,945726,944468,10.376211793305862,orange,173,104464,1872,943536.0,0.0019840260467009208,0.010386461141917214,0.02834322923858458,-0.0015912403985103843
2021-02-22,79,106397,0,1258,Yes,945726,944468,8.364497261950643,orange,132,104596,1801,943681.0,0.0019084839050484222,0.008371472987164095,0.02726405578640603,-0.0008490576432085596
2021-02-23,82,106512,0,1260,Yes,945726,944466,8.682154783761407,orange,115,104711,1801,943793.0,0.0019082574250921548,0.008688345855500094,0.027260820358459354,0.000953009652358343
2021-02-24,97,106628,1,1261,Yes,945726,944465,10.270364703827035,orange,124,104835,1793,943810.0,0.0018997467710662103,0.010277492291880781,0.027139239586660147,0.002648767381147198
2021-02-25,132,106794,2,1266,Yes,945726,944460,13.97624039133473,orange,164,104999,1795,943809.0,0.001901867856737963,0.01398588061779449,0.027169540810542323,0.001854505366350249
2021-02-26,132,106908,2,1268,Yes,945726,944458,13.976269987654295,orange,172,105171,1737,943767.0,0.0018404966480074002,0.013986503024581279,0.02629280925724857,-0.0005298229884844958
2021-02-27,122,106994,4,1274,Yes,945726,944452,12.917543718473782,orange,161,105332,1662,943817.0,0.0017609345879550803,0.012926234640825499,0.025156208399358285,-0.0021728409404416253
2021-02-28,91,107069,2,1274,Yes,945726,944452,9.635217035910772,orange,125,105457,1612,943903.0,0.0017078026025979364,0.009640821143698028,0.024397180037113376,-0.0028613804357668477
2021-03-01,68,107112,2,1274,Yes,945726,944452,7.199942400460796,orange,87,105544,1568,943989.0,0.0016610363044484628,0.007203473769291803,0.023729090063549466,-0.0011660244080964996
2021-03-02,69,107203,2,1282,Yes,945726,944444,7.305885791005078,orange,88,105632,1571,944071.0,0.0016640697574652754,0.007308772327505029,0.02377242510664679,0.0005293258471305508
2021-03-03,78,107304,3,1283,Yes,945726,944443,8.258836160572951,orange,91,105723,1581,944067.0,0.0016746692766509157,0.008262125463552905,0.023923846809298793,0.0015359948949581104
2021-03-04,98,107408,3,1283,Yes,945726,944443,10.37648645815576,orange,108,105831,1577,944054.0,0.0016704552917523785,0.01038076211742125,0.023863647025033977,0.0020657020273812535
2021-03-05,117,107555,0,1284,Yes,945726,944442,12.388267357868456,orange,108,105939,1616,944041.0,0.001711790059965616,0.012393529518315412,0.02445414371379451,0.0005829117944824826
2021-03-06,109,107631,0,1284,Yes,945726,944442,11.541206341945827,orange,109,106048,1583,944002.0,0.001676903226899943,0.011546585706386215,0.0239557603842849,-0.0007414527682760219
2021-03-07,103,107719,0,1284,Yes,945726,944442,10.905910580003853,orange,98,106146,1573,944034.0,0.0016662535459527942,0.010910623981763368,0.023803622085039916,-0.0024366228498564377
2021-03-08,63,107745,0,1284,Yes,945726,944442,6.670605500390707,green,79,106225,1520,944055.0,0.0016100756841497582,0.00667334000667334,0.023001081202139402,-0.0027544041680993676
2021-03-09,51,107786,1,1287,Yes,945726,944439,5.400031129591218,green,82,106307,1479,944127.0,0.0015665265372137435,0.005401815645564633,0.022378950531624905,0.00021143864292748945
2021-03-10,67,107920,2,1291,Yes,945726,944435,7.094188588944713,orange,97,106404,1516,944165.0,0.0016056515545481986,0.0070962172925283186,0.02293787935068855,0.0016417926802295055
2021-03-11,82,107993,2,1291,Yes,945726,944435,8.682439765574125,orange,132,106536,1457,944113.0,0.0015432474714361522,0.008685401006023644,0.022046392449087886,0.0018006913689878642
2021-03-12,101,108091,1,1291,Yes,945726,944435,10.694224589304717,orange,132,106668,1423,944137.0,0.0015071965191492337,0.010697600030504047,0.02153137884498905,-0.00042391884163904114
2021-03-13,74,108144,0,1292,Yes,945726,944434,7.835380767740255,orange,122,106790,1354,944171.0,0.001434062262026688,0.007837563322745562,0.020486603743238397,-0.0013773941375713247
2021-03-14,75,108218,0,1289,Yes,945726,944437,7.941239066237346,orange,91,106881,1337,944250.0,0.0014159385755890918,0.007942811755361398,0.020227693936987024,-0.0007418184569606143
2021-03-15,60,108272,0,1289,Yes,945726,944437,6.352991252989876,green,68,106949,1323,944298.0,0.0014010407731457654,0.006353926408824333,0.020014868187796648,0.00015848446843588077
2021-03-16,78,108378,0,1289,Yes,945726,944437,8.25888862888684,orange,69,107018,1360,944335.0,0.001440166889927833,0.00825978069223316,0.020573812713254754,0.0019061833056371082
2021-03-17,96,108508,0,1290,Yes,945726,944436,10.164796767594629,orange,78,107096,1412,944297.0,0.001495292265039495,0.01016629302009855,0.021361318071992784,0.0014831131826622424
2021-03-18,106,108590,0,1290,Yes,945726,944436,11.223629764219067,orange,98,107194,1396,944236.0,0.0014784439483349501,0.011226007057557644,0.02112062783335643,0.0010064585870031449
2021-03-19,115,108724,1,1292,Yes,945726,944434,12.17660524716391,orange,117,107311,1413,944232.0,0.0014964542612408815,0.01217921019410484,0.021377918017726878,-0.00031749285091109154
2021-03-20,100,108810,0,1292,Yes,945726,944434,10.588352388838182,orange,109,107420,1390,944196.0,0.0014721519684472292,0.010591021355735461,0.021030742406388987,3.2246510092356906e-08
2021-03-21,115,108936,0,1292,Yes,945726,944434,12.17660524716391,orange,103,107523,1413,944227.0,0.0014964621854702312,0.012179274687125024,0.0213780312210033,-0.00021189580405787858
2021-03-22,96,109014,0,1292,Yes,945726,944434,10.164818293284656,orange,63,107586,1428,944210.0,0.001512375424958431,0.010167229747619704,0.02160536321369187,-0.002488838813535559
2021-03-23,68,109014,0,1292,Yes,945726,944434,7.200079624409964,orange,51,107637,1377,944235.0,0.001458323404660916,0.007201597060053906,0.02083319149515594,0.0015880078554556974
2021-03-24,126,109315,2,1298,Yes,945726,944428,13.34140876805855,orange,67,107704,1611,944298.0,0.0017060292407693335,0.013343245458531099,0.02437184629670476,0.005244090712892897
2021-03-25,167,109515,2,1299,Yes,945726,944427,17.68267955066935,red,82,107786,1729,944048.0,0.001831474670779452,0.0176897784858397,0.026163923868277882,0.004611172861439122
2021-03-26,213,109653,2,1300,Yes,945726,944426,22.553381630747143,red,101,107887,1766,943915.0,0.0018709311749468968,0.022565591181409342,0.026727588213527095,-0.0005279690249635673
2021-03-27,157,109788,0,1300,Yes,945726,944426,16.623854065855873,red,74,107961,1827,943859.0,0.0019356704762046027,0.016633840435912567,0.027652435374351463,-0.00439592567308223
2021-03-28,130,109907,0,1300,Yes,945726,944426,13.76497470421187,orange,75,108036,1871,943825.0,0.001982359017826398,0.013773739835244882,0.02831941454037711,-0.0022773771040950023
2021-03-29,114,109997,0,1301,Yes,945726,944425,12.070836752521375,orange,60,108096,1901,943780.0,0.0020142406069211046,0.012079086227722562,0.028774865813158634,-0.0008472308125486144
2021-03-30,114,110131,0,1301,Yes,945726,944425,12.070836752521375,orange,78,108174,1957,943765.0,0.002073609426075347,0.012079278210147653,0.029622991801076384,0.0006363709300365623
2021-03-31,126,110286,1,1303,No,945726,944423,13.34147940064992,orange,96,108270,2016,943691.0,0.00213629249404731,0.013351828087795687,0.030518464200675856,0.001272672920818116
2021-04-01,138,110413,1,1306,No,945726,944420,14.612142902522184,orange,106,108376,2037,943614.0,0.0021587216806872303,0.014624624051783885,0.030838881152674715,0.0015904493814712026
2021-04-02,156,110601,2,1307,No,945726,944419,16.518092075657098,red,115,108491,2110,943583.0,0.0022361572855806007,0.016532726850738092,0.03194510407972286,0.0009547698319969204
2021-04-03,156,110754,1,1308,No,945726,944418,16.518109565891375,red,100,108591,2163,943501.0,0.00229252539212995,0.016534163715777726,0.032750362744713574,0.0009549838876681364
2021-04-04,174,110937,0,1308,No,945726,944418,18.424045285032687,red,115,108706,2231,943463.0,0.002364692627055857,0.018442694626074365,0.0337813232436551,-0.0010059569665407317
2021-04-05,137,111014,0,1308,No,945726,944418,14.506288529019988,orange,96,108802,2212,943380.0,0.0023447603298776738,0.014522249782696263,0.033496576141109624,-0.00238450510735529
2021-04-06,129,111141,0,1309,No,945726,944417,13.659220450288379,orange,68,108870,2271,943418.0,0.002407204441721485,0.013673684411363785,0.0343886348817355,-0.0013780673550454264
2021-04-07,111,111272,0,1310,No,945726,944416,11.753295158065937,orange,126,108996,2276,943387.0,0.0024125835950675597,0.01176611507260541,0.034465479929536566,0.0006367299710039543
2021-04-08,141,111438,1,1311,No,945726,944415,14.929877225584091,orange,167,109163,2275,943324.0,0.0024116846385759294,0.014947144353371694,0.03445263769394184,0.0032870333377076665
2021-04-09,173,111661,1,1313,No,945726,944413,18.31825694902548,red,213,109376,2285,943284.0,0.0024223881672963818,0.018340181748020743,0.03460554524709116,0.0027572521839141348
2021-04-10,193,111852,1,1314,No,945726,944412,20.435996154220827,red,157,109533,2319,943228.0,0.0024585784137027317,0.020461648721199963,0.03512254876718188,0.0006364291365912721
2021-04-11,185,111995,1,1315,No,945726,944411,19.588928972661268,red,130,109663,2332,943250.0,0.0024723032069970848,0.019613040021203287,0.035318617242815493,-0.002279709932401725
2021-04-12,150,112113,1,1316,No,945726,944410,15.882932201056745,red,114,109777,2336,943264.0,0.0024765071072361503,0.015902228856396514,0.03537867296051643,-0.00270361481636369
2021-04-13,134,112254,1,1318,No,945726,944408,14.18878281420742,orange,114,109891,2363,943276.0,0.002505099249848401,0.014205810388475907,0.03578713214069144,0.00010614298739402075
2021-04-14,152,112451,1,1318,No,945726,944408,16.09473871462334,red,126,110017,2434,943249.0,0.0025804427038883687,0.016114514831184555,0.03686346719840526,0.0020683329547199186
2021-04-15,173,112634,0,1318,No,945726,944408,18.31835393177525,red,138,110155,2479,943166.0,0.0026283814302042272,0.018342476297915744,0.037548306145774674,0.0015916802999846064
2021-04-16,182,112801,0,1320,No,945726,944406,19.27137269352376,red,156,110311,2490,943109.0,0.0026402038364600486,0.019297875431153768,0.03771719766371498,0.00015988964507868825
2021-04-17,176,112980,1,1322,No,945726,944404,18.63609218088869,red,156,110467,2513,943080.0,0.0026646731984561224,0.01866225558807312,0.0380667599779446,0.0005837417513058184
2021-04-18,193,113213,1,1322,No,945726,944404,20.43616926654271,red,174,110641,2572,943057.0,0.0027273006827795137,0.020465358933765405,0.03896143832542162,-0.000317150827398879
2021-04-19,170,113312,0,1322,No,945726,944404,18.00077085654021,red,137,110778,2534,942980.0,0.002687225603936457,0.018027953933275363,0.03838893719909224,-0.002173764557359927
2021-04-20,152,113438,0,1324,No,945726,944402,16.09484096814704,red,129,110907,2531,943055.0,0.0026838307415792293,0.01611782981904555,0.03834043916541756,-0.0028108056085354915
2021-04-21,117,113566,1,1325,No,945726,944401,12.388805179155888,orange,111,111018,2548,943066.0,0.0027018257470845094,0.01240634271620438,0.038597510672635844,-0.0007953800811383652
2021-04-22,137,113723,1,1325,No,945726,944401,14.506549654225271,orange,141,111159,2564,943067.0,0.002718788802916442,0.01452706965676882,0.03883984004166345,0.0021211395533197184
2021-04-23,157,113909,1,1327,No,945726,944399,16.624329335376256,red,173,111332,2577,943021.0,0.0027327069068451286,0.016648621822843816,0.039038670097787546,0.0008490788542543839
2021-04-24,153,114026,4,1338,No,945726,944388,16.20096824610224,red,193,111525,2501,942976.0,0.0026522414144156373,0.016225227365277588,0.03788916306308053,-0.0010074860316723342
